date,temperature
23-02-26-09-10-53,18
23-02-26-09-10-56,20
23-02-26-09-10-58,18
23-02-26-09-11-01,20
23-02-26-09-11-04,18
23-02-26-09-11-06,18
23-02-26-09-11-09,18
23-02-26-09-11-11,18
23-02-26-09-11-14,19
23-02-26-09-11-17,18
23-02-26-09-11-19,19
23-02-26-21-32-05,19
23-02-26-21-32-08,18
23-02-26-21-32-11,18
23-02-26-21-32-13,18
23-02-26-21-32-16,19
23-03-01-06-30-04,20
23-03-01-06-30-07,18
23-03-01-06-30-10,19
23-03-01-06-30-12,18
23-03-01-06-30-15,18
23-03-01-06-38-24,18
23-03-01-06-38-27,18
23-03-01-06-38-29,18
23-03-01-06-38-32,19
23-03-01-06-38-35,18
23-03-01-06-38-37,19
23-03-01-06-38-40,19
23-03-01-06-38-43,19
23-03-01-06-38-45,20
23-03-01-06-38-48,18
23-03-01-06-38-51,18
23-03-01-06-38-53,19
23-03-01-06-38-56,18
23-03-01-06-38-58,18
23-03-01-06-39-01,18
